Name,Coordinates
Akkon Hochschule,"52.4557165, 13.39451332"
Alice Salomon Hochschule Berlin,"52.53773045939934, 13.6057719570766"
Bard College Berlin,"52.58490390160592, 13.393675257102055"
Barenboim-Said Akademie,"52.515497782096986, 13.39611744101721"
bbw Hochschule Berlin,"52.51177910809336, 13.315078395716924"
Berlin International University of Applied Sciences,"52.51598389903653, 13.32814773797897"
Beuth Hochschule für Technik Berlin,"52.54505098644949, 13.351917671825248"
BSP Business School Berlin,"52.4388999268223, 13.328727125298153"
Charité – Universitätsmedizin Berlin,"52.4410513897327, 13.321002389112142"
CODE University of Applied Sciences,"52.493653949527804, 13.446913031401674"
DEKRA Hochschule für Medien,"52.50401279672268, 13.452755858900685"
Deutsche Film- und Fernsehakademie Berlin,"52.50972002956267, 13.373965832456827"
DHGS Deutsche Hochschule für Gesundheit und Sport,"52.51865224085933, 13.325768153991051"
Digital Business University of Applied Sciences,"52.500151431104655, 13.420876702464298"
ESCP Europe Wirtschaftshochschule Berlin ,"52.52427427925036, 13.28932663032823"
ESMT European School of Management and Technology,"52.51580614629097, 13.401579963454719"
Evangelische Hochschule Berlin,"52.4231827043048, 13.26165809536719"
Freie Universität Berlin,"52.45526415836397, 13.295663821616788"
Hertie School,"52.5129213413979, 13.389534744014343"
"HMKW Hochschule für Medien, Kommunikation und Wirtschaft","52.53868986572747, 13.384556209204078"
Hochschule für angewandte Pädagogik,"52.45580138314108, 13.530964607176783"
"Hochschule für Musik ""Hanns Eisler"" Berlin","52.51384341145025, 13.39435754984627"
"Hochschule für Schauspielkunst ""Ernst Busch""","52.5327792220226, 13.383343761156656"
Hochschule für Technik und Wirtschaft Berlin,"52.457447244517816, 13.529424745198616"
Hochschule für Wirtschaft und Recht Berlin,"52.5101473890824, 13.541536315634872"
Humboldt-Universität zu Berlin,"52.51781767450963, 13.393569265614333"
IB Hochschule für Gesundheit und Soziales,"52.578863792057916, 13.309723091806003"
International Psychoanalytic University Berlin,"52.52358075857541, 13.342597436569958"
Katholische Hochschule für Sozialwesen Berlin (KHSB) - Staatlich anerkannte Fachhochschule für Sozialwesen,"52.488426385074874, 13.533914579843282"
Mediadesign Hochschule für Design und Informatik,"52.51863036235501, 13.326148147226192"
Medical School Berlin - Hochschule für Gesundheit und Medizin (MSB),"52.4693177567627, 13.312017123050158"
Psychologische Hochschule Berlin (PHB),"52.513026916905275, 13.416203632979698"
Quadriga Hochschule Berlin,"52.51522050172715, 13.397692869908196"
SRH Berlin University of Applied Sciences,"52.5137405777404, 13.322939318107005"
Steinbeis-Hochschule Berlin,"52.52366040616701, 13.342093267069885"
Technische Universität Berlin,"52.5129496728055, 13.326859945864081"
Touro College Berlin,"52.505271447641036, 13.213530162588087"
Universität der Künste Berlin,"52.509502963799996, 13.327360384717629"
Weißensee Academy of Art Berlin,"52.55810559709764, 13.43995283388947"